incident_id,datetime,longitude,latitude
070645,24/3/2016 06:45 PM,-96.757877,32.873098
071040,10/4/2019 02:40 PM,-96.775941,32.79465
071398,5/4/2018 02:30 AM,-96.739476,32.900415
072259,1/4/2015 10:09 PM,-96.682766,32.768657
072493,12/4/2019 12:45 PM,-96.814341,32.743062
073377,9/4/2019 12:00 AM,-96.778435,32.782588
073437,28/3/2016 01:30 AM,-96.665193,32.734192
073697,21/3/2016 04:51 PM,-96.769908,32.677245
074280,9/4/2018 04:43 PM,-96.882276,32.66055
075357,30/3/2015 10:51 AM,-96.792602,32.701603
076085,17/4/2019 12:00 AM,-96.885565,32.868507
076442,19/3/2016 10:00 AM,-96.857653,32.739179
076911,18/4/2019 04:00 PM,-96.77555,32.778815
076915,1/4/2016 02:08 AM,-96.801407,32.997472
076937,31/3/2016 08:00 PM,-96.714105,32.71338
077109,7/4/2015 01:00 PM,-96.743866,32.771177
077156,7/4/2017 12:01 AM,-96.802005,32.695012
077757,13/4/2018 11:52 PM,-96.856458,32.777937
077868,19/4/2019 09:26 PM,-96.794161,32.774161
078026,2/4/2016 02:00 PM,-96.790729,32.779205
078048,20/4/2019 02:41 AM,-96.75582,32.76064
078278,14/4/2018 04:00 PM,-96.786344,32.783354
078442,20/4/2019 06:46 PM,-96.7969,32.777857
078631,21/4/2019 12:00 AM,-96.783702,32.743786
078719,9/4/2015 11:27 AM,-96.862515,32.766575
078765,21/4/2019 04:10 AM,-96.697625,32.771047
078972,1/4/2016 10:00 PM,-96.782245,32.98701
079223,3/4/2016 09:28 PM,-96.858694,32.836358
080216,22/4/2019 09:30 PM,-96.828823,32.805824
080624,5/4/2016 03:26 PM,-96.665224,32.864022
081092,24/4/2019 01:00 PM,-96.783561,32.809384
081945,25/4/2019 03:30 PM,-96.802315,32.816192
082074,18/4/2018 10:00 PM,-96.67051,32.73871
082141,13/4/2017 04:14 AM,-96.808405,32.78101
082247,7/4/2016 08:00 AM,-96.658639,32.824076
082924,26/4/2019 07:30 PM,-96.747579,32.671959
083576,15/4/2015 06:10 AM,-96.691967,32.774785
083869,9/4/2016 02:30 AM,-96.828945,32.990947
083874,9/4/2016 02:15 AM,-96.781874,32.784217
084096,15/4/2015 06:49 PM,-96.675028,32.732318
084217,9/4/2016 02:15 PM,-96.783992,32.772709
084298,15/4/2017 12:00 AM,-96.777612,32.952422
084853,15/4/2015 09:00 PM,-96.807375,32.807977
084947,10/4/2016 01:17 PM,-96.795681,32.781377
085010,10/4/2016 02:30 PM,-96.832697,32.655564
085319,30/4/2019 04:30 AM,-96.831739,32.720401
085493,7/4/2016 12:00 AM,-96.920367,32.710576
085784,30/4/2019 12:00 PM,-96.739672,32.892685
085986,11/4/2016 05:19 PM,-96.772538,32.782775
086160,18/4/2015 03:45 AM,-96.813825,32.937228
086167,18/4/2015 04:29 AM,-96.803969,32.7785
086251,11/4/2016 11:30 PM,-96.89318,32.778509
087424,25/4/2018 07:00 AM,-96.826003,33.007271
087500,26/4/2018 12:31 AM,-96.82903,32.997619
